website,annual,purchase,1457713158000
iphone,monthly,others,1457713159000
android,trial,purchase,1457713160000
website,monthly,renewal,1457713161000
website,monthly,others,1457713162000
android,monthly,feedback,1457713163000
iphone,annual,enquiry,1457713164000
iphone,monthly,purchase,1457713165000
website,trial,others,1457713166000
android,none,feedback,1457713167000
android,annual,renewal,1457713168000
iphone,none,others,1457713169000
android,annual,purchase,1457713170000
website,trial,renewal,1457713171000
iphone,none,others,1457713172000
android,trial,purchase,1457713173000
iphone,annual,others,1457713174000
android,monthly,renewal,1457713175000
iphone,monthly,renewal,1457713176000
website,trial,feedback,1457713177000
iphone,monthly,renewal,1457713321000
android,annual,feedback,1457713322000
android,none,feedback,1457713323000
website,none,enquiry,1457713324000
website,none,feedback,1457713325000
website,monthly,enquiry,1457713326000
website,trial,enquiry,1457713327000
android,none,renewal,1457713328000
website,monthly,purchase,1457713329000
iphone,annual,purchase,1457713330000
website,annual,others,1457713331000
website,monthly,enquiry,1457713332000
android,trial,purchase,1457713333000
iphone,none,enquiry,1457713334000
iphone,annual,enquiry,1457713335000
website,none,feedback,1457713336000
iphone,trial,enquiry,1457713337000
website,monthly,renewal,1457713338000
android,none,enquiry,1457713339000
android,monthly,purchase,1457713340000
